Name,Anrede,Wahlkreis,Email,Partei,WahlkreisNummer,Title,FirstName,LastName,Bundesland
Tijen Ataoğlu,Frau,137 - Hagen – Ennepe-Ruhr-Kreis I,tijen.ataoglu@bundestag.de,CDU,137,,Tijen,Ataoğlu,Nordrhein-Westfalen
Andreas Audretsch,Herr,81 - Berlin-Neukölln,andreas.audretsch@bundestag.de,GRÜNE,81,,Andreas,Audretsch,Berlin
Artur Auernhammer,Herr,240 - Ansbach,artur.auernhammer@bundestag.de,CSU,240,,Artur,Auernhammer,Bayern
Peter Aumer,Herr,232 - Regensburg,peter.aumer@bundestag.de,CSU,232,,Peter,Aumer,Bayern
Dr. Cornell-Anette Babendererde,Frau,36 - Harburg,cornell-anette.babendererde@bundestag.de,CDU,36,Dr.,Cornell-Anette,Babendererde,Niedersachsen
Lisa Badum,Frau,235 - Bamberg,lisa.badum@bundestag.de,GRÜNE,235,,Lisa,Badum,Bayern
Annalena Baerbock,Frau,61 - Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,annalena.baerbock@bundestag.de,GRÜNE,61,,Annalena,Baerbock,Brandenburg
Daniel Baldy,Herr,204 - Mainz,daniel.baldy@bundestag.de,SPD,204,,Daniel,Baldy,Rheinland-Pfalz
Felix Banaszak,Herr,115 - Duisburg II,felix.banaszak@bundestag.de,GRÜNE,115,,Felix,Banaszak,Nordrhein-Westfalen
Thomas Bareiß,Herr,295 - Zollernalb – Sigmaringen,thomas.bareiss@bundestag.de,CDU,295,,Thomas,Bareiß,Baden-Württemberg
Sören Bartol,Herr,170 - Marburg,soeren.bartol@bundestag.de,SPD,170,,Sören,Bartol,Hessen
Dr. Dietmar Bartsch,Herr,14 - Rostock – Landkreis Rostock II,dietmar.bartsch@bundestag.de,DIE LINKE,14,Dr.,Dietmar,Bartsch,Mecklenburg-Vorpommern
Bärbel Bas,Frau,114 - Duisburg I,baerbel.bas@bundestag.de,SPD,114,,Bärbel,Bas,Nordrhein-Westfalen
Marcel Bauer,Herr,271 - Karlsruhe-Stadt,marcel.bauer@bundestag.de,DIE LINKE,271,,Marcel,Bauer,Baden-Württemberg
Günter Baumgartner,Herr,229 - Rottal-Inn,guenter.baumgartner@bundestag.de,CSU,229,,Günter,Baumgartner,Bayern
Katharina Beck,Frau,21 - Hamburg-Nord,katharina.beck@bundestag.de,GRÜNE,21,,Katharina,Beck,Hamburg
Desiree Becker,Frau,172 - Gießen,desiree.becker@bundestag.de,DIE LINKE,172,,Desiree,Becker,Hessen
Sascha van Beek,Herr,112 - Wesel I,sascha.beek@bundestag.de,CDU,112,,Sascha van,Beek,Nordrhein-Westfalen
Jens Behrens,Herr,145 - Soest,jens.behrens@bundestag.de,SPD,145,,Jens,Behrens,Nordrhein-Westfalen
Lukas Benner,Herr,86 - Aachen I,lukas.benner@bundestag.de,GRÜNE,86,,Lukas,Benner,Nordrhein-Westfalen
Melanie Bernstein,Frau,8 - Segeberg – Stormarn-Mitte,melanie.bernstein@bundestag.de,CDU,8,,Melanie,Bernstein,Schleswig-Holstein
Daniel Bettermann,Herr,167 - Kassel,daniel.bettermann@bundestag.de,SPD,167,,Daniel,Bettermann,Hessen
Lorenz Gösta Beutin,Herr,1 - Flensburg – Schleswig,lorenz.beutin@bundestag.de,DIE LINKE,1,,Lorenz Gösta,Beutin,Schleswig-Holstein
Peter Beyer,Herr,104 - Mettmann II,peter.beyer@bundestag.de,CDU,104,,Peter,Beyer,Nordrhein-Westfalen
Marc Biadacz,Herr,260 - Böblingen,marc.biadacz@bundestag.de,CDU,260,,Marc,Biadacz,Baden-Württemberg
Steffen Bilger,Herr,265 - Ludwigsburg,steffen.bilger@bundestag.de,CDU,265,,Steffen,Bilger,Baden-Württemberg
Florian Bilic,Herr,209 - Pirmasens,florian.bilic@bundestag.de,CDU,209,,Florian,Bilic,Rheinland-Pfalz
Jakob Blankenburg,Herr,37 - Lüchow-Dannenberg – Lüneburg,jakob.blankenburg@bundestag.de,SPD,37,,Jakob,Blankenburg,Niedersachsen
Violetta Bock,Frau,167 - Kassel,violetta.bock@bundestag.de,DIE LINKE,167,,Violetta,Bock,Hessen
Leif Erik Bodin,Herr,2 - Nordfriesland – Dithmarschen Nord,leif.bodin@bundestag.de,CDU,2,,Leif Erik,Bodin,Schleswig-Holstein
Hendrik Bollmann,Herr,140 - Herne – Bochum II,hendrik.bollmann@bundestag.de,SPD,140,,Hendrik,Bollmann,Nordrhein-Westfalen
Simone Borchardt,Frau,13 - Ludwigslust-Parchim II–Nordwestmecklenbg II–Landkr. RostockI,simone.borchardt@bundestag.de,CDU,13,,Simone,Borchardt,Mecklenburg-Vorpommern
Caroline Bosbach,Frau,99 - Rheinisch-Bergischer Kreis,caroline.bosbach@bundestag.de,CDU,99,,Caroline,Bosbach,Nordrhein-Westfalen
Jorrit Bosch,Herr,,jorrit.bosch@bundestag.de,DIE LINKE,,,Jorrit,Bosch,Niedersachsen
Frederik Bouffier,Herr,172 - Gießen,frederik.bouffier@bundestag.de,CDU,172,,Frederik,Bouffier,Hessen
Michael Brand,Herr,173 - Fulda,michael.brand@bundestag.de,CDU,173,,Michael,Brand,Hessen
Dr. Reinhard Brandl,Herr,215 - Ingolstadt,reinhard.brandl@bundestag.de,CSU,215,Dr.,Reinhard,Brandl,Bayern
Dr. Franziska Brantner,Frau,274 - Heidelberg,franziska.brantner@bundestag.de,GRÜNE,274,Dr.,Franziska,Brantner,Baden-Württemberg
Silvia Breher,Frau,32 - Cloppenburg – Vechta,silvia.breher@bundestag.de,CDU,32,,Silvia,Breher,Niedersachsen
Michael Breilmann,Herr,120 - Recklinghausen I,michael.breilmann@bundestag.de,CDU,120,,Michael,Breilmann,Nordrhein-Westfalen
Anne-Mieke Bremer,Frau,40 - Nienburg II – Schaumburg,anne-mieke.bremer@bundestag.de,DIE LINKE,40,,Anne-Mieke,Bremer,Niedersachsen
Ralph Brinkhaus,Herr,130 - Gütersloh I,ralph.brinkhaus@bundestag.de,CDU,130,,Ralph,Brinkhaus,Nordrhein-Westfalen
Lutz Brinkmann,Herr,38 - Osnabrück-Land,lutz.brinkmann@bundestag.de,CDU,38,,Lutz,Brinkmann,Niedersachsen
Dr. Carsten Brodesser,Herr,98 - Oberbergischer Kreis,carsten.brodesser@bundestag.de,CDU,98,Dr.,Carsten,Brodesser,Nordrhein-Westfalen
Victoria Broßart,Frau,221 - Rosenheim,victoria.brossart@bundestag.de,GRÜNE,221,,Victoria,Broßart,Bayern
Dr. Marlon Bröhr,Herr,199 - Mosel/Rhein-Hunsrück,marlon.broehr@bundestag.de,CDU,199,Dr.,Marlon,Bröhr,Rheinland-Pfalz
Maik Brückner,Herr,48 - Hildesheim,maik.brueckner@bundestag.de,DIE LINKE,48,,Maik,Brückner,Niedersachsen
Dr. Yannick Bury,Herr,283 - Emmendingen – Lahr,yannick.bury@bundestag.de,CDU,283,Dr.,Yannick,Bury,Baden-Württemberg
Karl Bär,Herr,222 - Bad Tölz-Wolfratshausen – Miesbach,karl.baer@bundestag.de,GRÜNE,222,,Karl,Bär,Bayern
Janina Böttger,Frau,71 - Halle,janina.boettger@bundestag.de,DIE LINKE,71,,Janina,Böttger,Sachsen-Anhalt
Benedikt Büdenbender,Herr,147 - Siegen-Wittgenstein,benedikt.buedenbender@bundestag.de,CDU,147,,Benedikt,Büdenbender,Nordrhein-Westfalen
Clara Bünger,Frau,159 - Dresden II – Bautzen II,clara.buenger@bundestag.de,DIE LINKE,159,,Clara,Bünger,Sachsen
Isabel Cademartori Dujisin,Frau,275 - Mannheim,isabel.cademartoridujisin@bundestag.de,SPD,275,,Isabel,Cademartori Dujisin,Baden-Württemberg
Sandra Carstensen,Frau,6 - Plön – Neumünster,sandra.carstensen@bundestag.de,CDU,6,,Sandra,Carstensen,Schleswig-Holstein
Dr. Lars Castellucci,Herr,277 - Rhein-Neckar,lars.castellucci@bundestag.de,SPD,277,Dr.,Lars,Castellucci,Baden-Württemberg
Jörg Cezanne,Herr,183 - Groß-Gerau,joerg.cezanne@bundestag.de,DIE LINKE,183,,Jörg,Cezanne,Hessen
Gitta Connemann,Frau,25 - Unterems,gitta.connemann@bundestag.de,CDU,25,,Gitta,Connemann,Niedersachsen
Agnes Conrad,Frau,249 - Schweinfurt,agnes.conrad@bundestag.de,DIE LINKE,249,,Agnes,Conrad,Bayern
Jürgen Coße,Herr,127 - Steinfurt III,juergen.cosse@bundestag.de,SPD,127,,Jürgen,Coße,Nordrhein-Westfalen
Wolfgang Dahler,Herr,292 - Biberach,wolfgang.dahler@bundestag.de,CDU,292,,Wolfgang,Dahler,Baden-Württemberg
Dr. Janosch Dahmen,Herr,138 - Ennepe-Ruhr-Kreis II,janosch.dahmen@bundestag.de,GRÜNE,138,Dr.,Janosch,Dahmen,Nordrhein-Westfalen
Hakan Demir,Herr,81 - Berlin-Neukölln,hakan.demir@bundestag.de,SPD,81,,Hakan,Demir,Berlin
Ellen Demuth,Frau,196 - Neuwied,ellen.demuth@bundestag.de,CDU,196,,Ellen,Demuth,Rheinland-Pfalz
Dr. Sandra Detzer,Frau,265 - Ludwigsburg,sandra.detzer@bundestag.de,GRÜNE,265,Dr.,Sandra,Detzer,Baden-Württemberg
Jan Dieren,Herr,113 - Krefeld II – Wesel II,jan.dieren@bundestag.de,SPD,113,,Jan,Dieren,Nordrhein-Westfalen
Esther Dilcher,Frau,166 - Waldeck,esther.dilcher@bundestag.de,SPD,166,,Esther,Dilcher,Hessen
Jeanne Dillschneider,Frau,296 - Saarbrücken,jeanne.dillschneider@bundestag.de,GRÜNE,296,,Jeanne,Dillschneider,Saarland
Sabine Dittmar,Frau,247 - Bad Kissingen,sabine.dittmar@bundestag.de,SPD,247,,Sabine,Dittmar,Bayern
Alexander Dobrindt,Herr,225 - Weilheim,alexander.dobrindt@bundestag.de,CSU,225,,Alexander,Dobrindt,Bayern
Michael Donth,Herr,289 - Reutlingen,michael.donth@bundestag.de,CDU,289,,Michael,Donth,Baden-Württemberg
Dr. Florian Dorn,Herr,255 - Memmingen – Unterallgäu,florian.dorn@bundestag.de,CSU,255,Dr.,Florian,Dorn,Bayern
Falko Droßmann,Herr,18 - Hamburg-Mitte,falko.drossmann@bundestag.de,SPD,18,,Falko,Droßmann,Hamburg
Katharina Dröge,Frau,94 - Köln III,katharina.droege@bundestag.de,GRÜNE,94,,Katharina,Dröge,Nordrhein-Westfalen
Hansjörg Durz,Herr,252 - Augsburg-Land,hansjoerg.durz@bundestag.de,CSU,252,,Hansjörg,Durz,Bayern
Timon Dzienus,Herr,41 - Stadt Hannover I,timon.dzienus@bundestag.de,GRÜNE,41,,Timon,Dzienus,Niedersachsen
Felix Döring,Herr,172 - Gießen,felix.doering@bundestag.de,SPD,172,,Felix,Döring,Hessen
Dr. Hülya Düber,Frau,250 - Würzburg,huelya.dueber@bundestag.de,CSU,250,Dr.,Hülya,Düber,Bayern
Deborah Düring,Frau,181 - Frankfurt am Main I,deborah.duering@bundestag.de,GRÜNE,181,,Deborah,Düring,Hessen
Joachim Ebmeyer,Herr,132 - Herford – Minden-Lübbecke II,joachim.ebmeyer@bundestag.de,CDU,132,,Joachim,Ebmeyer,Nordrhein-Westfalen
Harald Ebner,Herr,268 - Schwäbisch Hall – Hohenlohe,harald.ebner@bundestag.de,GRÜNE,268,,Harald,Ebner,Baden-Württemberg
Leon Eckert,Herr,213 - Freising,leon.eckert@bundestag.de,GRÜNE,213,,Leon,Eckert,Bayern
Ralph Edelhäußer,Herr,245 - Roth,ralph.edelhaeusser@bundestag.de,CSU,245,,Ralph,Edelhäußer,Bayern
Mirze Edis,Herr,114 - Duisburg I,mirze.edis@bundestag.de,DIE LINKE,114,,Mirze,Edis,Nordrhein-Westfalen
Lars Ehm,Herr,121 - Recklinghausen II,lars.ehm@bundestag.de,CDU,121,,Lars,Ehm,Nordrhein-Westfalen
Sonja Eichwede,Frau,60 - BRB a.d.Havel– Potsdam-MittelmarkI –HVL III–Teltow-Fläming I,sonja.eichwede@bundestag.de,SPD,60,,Sonja,Eichwede,Brandenburg
Mandy Eißing,Frau,194 - Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,mandy.eissing@bundestag.de,DIE LINKE,194,,Mandy,Eißing,Thüringen
Marcel Emmerich,Herr,291 - Ulm,marcel.emmerich@bundestag.de,GRÜNE,291,,Marcel,Emmerich,Baden-Württemberg
Alexander Engelhard,Herr,254 - Neu-Ulm,alexander.engelhard@bundestag.de,CSU,254,,Alexander,Engelhard,Bayern
Martina Englhardt-Kopf,Frau,233 - Schwandorf,martina.englhardt-kopf@bundestag.de,CSU,233,,Martina,Englhardt-Kopf,Bayern
Thomas Erndl,Herr,226 - Deggendorf,thomas.erndl@bundestag.de,CSU,226,,Thomas,Erndl,Bayern
Bastian Ernst,Herr,28 - Delmenhorst – Wesermarsch – Oldenburg-Land,bastian.ernst@bundestag.de,CDU,28,,Bastian,Ernst,Niedersachsen
Dr. Wiebke Esdar,Frau,131 - Bielefeld – Gütersloh II,wiebke.esdar@bundestag.de,SPD,131,Dr.,Wiebke,Esdar,Nordrhein-Westfalen
Saskia Esken,Frau,280 - Calw,saskia.esken@bundestag.de,SPD,280,,Saskia,Esken,Baden-Württemberg
Nancy Faeser,Frau,180 - Main-Taunus,nancy.faeser@bundestag.de,SPD,180,,Nancy,Faeser,Hessen
Dr. Fabian Fahl,Herr,86 - Aachen I,fabian.fahl@bundestag.de,DIE LINKE,86,Dr.,Fabian,Fahl,Nordrhein-Westfalen
Dr. Johannes Fechner,Herr,283 - Emmendingen – Lahr,johannes.fechner@bundestag.de,SPD,283,Dr.,Johannes,Fechner,Baden-Württemberg
Uwe Feiler,Herr,58 - Oberhavel – Havelland II,uwe.feiler@bundestag.de,CDU,58,,Uwe,Feiler,Brandenburg
Katrin Fey,Frau,147 - Siegen-Wittgenstein,katrin.fey@bundestag.de,DIE LINKE,147,,Katrin,Fey,Nordrhein-Westfalen
Sebastian Fiedler,Herr,117 - Mülheim – Essen I,sebastian.fiedler@bundestag.de,SPD,117,,Sebastian,Fiedler,Nordrhein-Westfalen
Simone Fischer,Frau,258 - Stuttgart I,simone.fischer@bundestag.de,GRÜNE,258,,Simone,Fischer,Baden-Württemberg
Uwe Foullong,Herr,124 - Bottrop – Recklinghausen III,uwe.foullong@bundestag.de,DIE LINKE,124,,Uwe,Foullong,Nordrhein-Westfalen
Christoph Frauenpreiß,Herr,29 - Cuxhaven – Stade II,christoph.frauenpreiss@bundestag.de,CDU,29,,Christoph,Frauenpreiß,Niedersachsen
Thorsten Frei,Herr,286 - Schwarzwald-Baar,thorsten.frei@bundestag.de,CDU,286,,Thorsten,Frei,Baden-Württemberg
Michael Frieser,Herr,244 - Nürnberg-Süd,michael.frieser@bundestag.de,CSU,244,,Michael,Frieser,Bayern
Hermann Färber,Herr,263 - Göppingen,hermann.faerber@bundestag.de,CDU,263,,Hermann,Färber,Baden-Württemberg
Schahina Gambir,Frau,133 - Minden-Lübbecke I,schahina.gambir@bundestag.de,GRÜNE,133,,Schahina,Gambir,Nordrhein-Westfalen
Matthias Gastel,Herr,262 - Nürtingen,matthias.gastel@bundestag.de,GRÜNE,262,,Matthias,Gastel,Baden-Württemberg
Kathrin Gebel,Frau,128 - Münster,kathrin.gebel@bundestag.de,DIE LINKE,128,,Kathrin,Gebel,Nordrhein-Westfalen
Wilhelm Gebhard,Herr,168 - Werra-Meißner – Hersfeld-Rotenburg,wilhelm.gebhard@bundestag.de,CDU,168,,Wilhelm,Gebhard,Hessen
Dr. Thomas Gebhart,Herr,210 - Südpfalz,thomas.gebhart@bundestag.de,CDU,210,Dr.,Thomas,Gebhart,Rheinland-Pfalz
Dr. Jonas Geissler,Herr,237 - Coburg,jonas.geissler@bundestag.de,CSU,237,Dr.,Jonas,Geissler,Bayern
Katalin Gennburg,Frau,84 - Berlin-Marzahn-Hellersdorf,katalin.gennburg@bundestag.de,DIE LINKE,84,,Katalin,Gennburg,Berlin
Martin Gerster,Herr,292 - Biberach,martin.gerster@bundestag.de,SPD,292,,Martin,Gerster,Baden-Württemberg
Dr. Jan-Niclas Gesenhues,Herr,127 - Steinfurt III,jan-niclas.gesenhues@bundestag.de,GRÜNE,127,Dr.,Jan-Niclas,Gesenhues,Nordrhein-Westfalen
Stefan Glaser,Herr,282 - Lörrach – Müllheim,stefan.glaser@bundestag.de,CDU,282,,Stefan,Glaser,Baden-Württemberg
Vinzenz Glaser,Herr,281 - Freiburg,vinzenz.glaser@bundestag.de,DIE LINKE,281,,Vinzenz,Glaser,Baden-Württemberg
Angelika Glöckner,Frau,209 - Pirmasens,angelika.gloeckner@bundestag.de,SPD,209,,Angelika,Glöckner,Rheinland-Pfalz
Nicole Gohlke,Frau,219 - München-West/Mitte,nicole.gohlke@bundestag.de,DIE LINKE,219,,Nicole,Gohlke,Bayern
Fabian Gramling,Herr,266 - Neckar-Zaber,fabian.gramling@bundestag.de,CDU,266,,Fabian,Gramling,Baden-Württemberg
Adrian Grasse,Herr,78 - Berlin-Steglitz-Zehlendorf,adrian.grasse@bundestag.de,CDU,78,,Adrian,Grasse,Berlin
Dr. Armin Grau,Herr,206 - Ludwigshafen/Frankenthal,armin.grau@bundestag.de,GRÜNE,206,Dr.,Armin,Grau,Rheinland-Pfalz
David Gregosz,Herr,188 - Eichsfeld – Nordhausen – Kyffhäuserkreis,david.gregosz@bundestag.de,CDU,188,,David,Gregosz,Thüringen
Kerstin Griese,Frau,104 - Mettmann II,kerstin.griese@bundestag.de,SPD,104,,Kerstin,Griese,Nordrhein-Westfalen
Dr. Ingeborg Gräßle,Frau,269 - Backnang – Schwäbisch Gmünd,ingeborg.graessle@bundestag.de,CDU,269,Dr.,Ingeborg,Gräßle,Baden-Württemberg
Dr. Lena Gumnior,Frau,34 - Osterholz – Verden,lena.gumnior@bundestag.de,GRÜNE,34,Dr.,Lena,Gumnior,Niedersachsen
Olav Gutting,Herr,278 - Bruchsal – Schwetzingen,olav.gutting@bundestag.de,CDU,278,,Olav,Gutting,Baden-Württemberg
Dr. Gregor Gysi,Herr,83 - Berlin-Treptow-Köpenick,gregor.gysi@bundestag.de,DIE LINKE,83,Dr.,Gregor,Gysi,Berlin
Katrin Dagmar Göring-Eckardt,Frau,192 - Erfurt – Weimar – Weimarer Land II,katrin.goering-eckardt@bundestag.de,GRÜNE,192,,Katrin Dagmar,Göring-Eckardt,Thüringen
Christian Görke,Herr,64 - Cottbus – Spree-Neiße,christian.goerke@bundestag.de,DIE LINKE,64,,Christian,Görke,Brandenburg
Serap Güler,Frau,92 - Köln I,serap.gueler@bundestag.de,CDU,92,,Serap,Güler,Nordrhein-Westfalen
Georg Günther,Herr,15 - Vorpommern-Rügen – Vorpommern-Greifswald I,georg.guenther@bundestag.de,CDU,15,,Georg,Günther,Mecklenburg-Vorpommern
Fritz Güntzler,Herr,53 - Göttingen I,fritz.guentzler@bundestag.de,CDU,53,,Fritz,Güntzler,Niedersachsen
Ates Gürpinar,Herr,221 - Rosenheim,ates.guerpinar@bundestag.de,DIE LINKE,221,,Ates,Gürpinar,Bayern
Christian Haase,Herr,135 - Höxter – Gütersloh III – Lippe II,christian.haase@bundestag.de,CDU,135,,Christian,Haase,Nordrhein-Westfalen
Dr. Robert Habeck,Herr,1 - Flensburg – Schleswig,robert.habeck@bundestag.de,GRÜNE,1,Dr.,Robert,Habeck,Schleswig-Holstein
Bettina Hagedorn,Frau,9 - Ostholstein – Stormarn-Nord,bettina.hagedorn@bundestag.de,SPD,9,,Bettina,Hagedorn,Schleswig-Holstein
Florian Hahn,Herr,220 - München-Land,florian.hahn@bundestag.de,CSU,220,,Florian,Hahn,Bayern
Heiko Hain,Herr,238 - Hof,heiko.hain@bundestag.de,CSU,238,,Heiko,Hain,Bayern
Metin Hakverdi,Herr,23 - Hamburg-Bergedorf – Harburg,metin.hakverdi@bundestag.de,SPD,23,,Metin,Hakverdi,Hamburg
Jürgen Hardt,Herr,102 - Solingen – Remscheid – Wuppertal II,juergen.hardt@bundestag.de,CDU,102,,Jürgen,Hardt,Nordrhein-Westfalen
Sebastian Hartmann,Herr,96 - Rhein-Sieg-Kreis I,sebastian.hartmann@bundestag.de,SPD,96,,Sebastian,Hartmann,Nordrhein-Westfalen
Matthias Hauer,Herr,119 - Essen III,matthias.hauer@bundestag.de,CDU,119,,Matthias,Hauer,Nordrhein-Westfalen
Britta Haßelmann,Frau,131 - Bielefeld – Gütersloh II,britta.hasselmann@bundestag.de,GRÜNE,131,,Britta,Haßelmann,Nordrhein-Westfalen
Hubertus Heil,Herr,45 - Gifhorn – Peine,hubertus.heil@bundestag.de,SPD,45,,Hubertus,Heil,Niedersachsen
Mechthild Heil,Frau,197 - Ahrweiler,mechthild.heil@bundestag.de,CDU,197,,Mechthild,Heil,Rheinland-Pfalz
Frauke Heiligenstadt,Frau,52 - Goslar – Northeim – Göttingen II,frauke.heiligenstadt@bundestag.de,SPD,52,,Frauke,Heiligenstadt,Niedersachsen
Gabriela Heinrich,Frau,243 - Nürnberg-Nord,gabriela.heinrich@bundestag.de,SPD,243,,Gabriela,Heinrich,Bayern
Linda Heitmann,Frau,19 - Hamburg-Altona,linda.heitmann@bundestag.de,GRÜNE,19,,Linda,Heitmann,Hamburg
Mark Helfrich,Herr,3 - Steinburg – Dithmarschen Süd,mark.helfrich@bundestag.de,CDU,3,,Mark,Helfrich,Schleswig-Holstein
Marc Henrichmann,Herr,126 - Coesfeld – Steinfurt II,marc.henrichmann@bundestag.de,CDU,126,,Marc,Henrichmann,Nordrhein-Westfalen
Diana Herbstreuth,Frau,194 - Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,diana.herbstreuth@bundestag.de,CDU,194,,Diana,Herbstreuth,Thüringen
Mareike Hermeier,Frau,123 - Steinfurt I – Borken I,mareike.hermeier@bundestag.de,DIE LINKE,123,,Mareike,Hermeier,Nordrhein-Westfalen
Nadine Heselhaus,Frau,125 - Borken II,nadine.heselhaus@bundestag.de,SPD,125,,Nadine,Heselhaus,Nordrhein-Westfalen
Heike Heubach,Frau,252 - Augsburg-Land,heike.heubach@bundestag.de,SPD,252,,Heike,Heubach,Bayern
Dr. Moritz Heuberger,Herr,80 - Berlin-Tempelhof-Schöneberg,moritz.heuberger@bundestag.de,GRÜNE,80,Dr.,Moritz,Heuberger,Berlin
Susanne Hierl,Frau,231 - Amberg,susanne.hierl@bundestag.de,CSU,231,,Susanne,Hierl,Bayern
Dr. Matthias Hiller,Herr,262 - Nürtingen,matthias.hiller@bundestag.de,CDU,262,Dr.,Matthias,Hiller,Baden-Württemberg
Christian Hirte,Herr,189 - Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,christian.hirte@bundestag.de,CDU,189,,Christian,Hirte,Thüringen
Alexander Hoffmann,Herr,248 - Main-Spessart,alexander.hoffmann@bundestag.de,CSU,248,,Alexander,Hoffmann,Bayern
Philip M. A. Hoffmann,Herr,297 - Saarlouis,philip.hoffmann@bundestag.de,CDU,297,,Philip M. A.,Hoffmann,Saarland
Dr. Anton Hofreiter,Herr,220 - München-Land,anton.hofreiter@bundestag.de,GRÜNE,220,Dr.,Anton,Hofreiter,Bayern
Dr. Hendrik Hoppenstedt,Herr,43 - Hannover-Land I,hendrik.hoppenstedt@bundestag.de,CDU,43,Dr.,Hendrik,Hoppenstedt,Niedersachsen
Franziska Hoppermann,Frau,22 - Hamburg-Wandsbek,franziska.hoppermann@bundestag.de,CDU,22,,Franziska,Hoppermann,Hamburg
Michael Hose,Herr,192 - Erfurt – Weimar – Weimarer Land II,michael.hose@bundestag.de,CDU,192,,Michael,Hose,Thüringen
Jasmina Hostert,Frau,260 - Böblingen,jasmina.hostert@bundestag.de,SPD,260,,Jasmina,Hostert,Baden-Württemberg
Luke Hoß,Herr,228 - Passau,luke.hoss@bundestag.de,DIE LINKE,228,,Luke,Hoß,Bayern
Verena Hubertz,Frau,202 - Trier,verena.hubertz@bundestag.de,SPD,202,,Verena,Hubertz,Rheinland-Pfalz
Cem Ince,Herr,49 - Salzgitter – Wolfenbüttel,cem.ince@bundestag.de,DIE LINKE,49,,Cem,Ince,Niedersachsen
Anne Janssen,Frau,26 - Friesland – Wilhelmshaven – Wittmund,anne.janssen@bundestag.de,CDU,26,,Anne,Janssen,Niedersachsen
Thomas Jarzombek,Herr,105 - Düsseldorf I,thomas.jarzombek@bundestag.de,CDU,105,,Thomas,Jarzombek,Nordrhein-Westfalen
Alexander Jordan,Herr,51 - Helmstedt – Wolfsburg,alexander.jordan@bundestag.de,CDU,51,,Alexander,Jordan,Niedersachsen
Julian Joswig,Herr,199 - Mosel/Rhein-Hunsrück,julian.joswig@bundestag.de,GRÜNE,199,,Julian,Joswig,Rheinland-Pfalz
Frank Junge,Herr,13 - Ludwigslust-Parchim II–Nordwestmecklenbg II–Landkr. RostockI,frank.junge@bundestag.de,SPD,13,,Frank,Junge,Mecklenburg-Vorpommern
Oliver Kaczmarek,Herr,143 - Unna I,oliver.kaczmarek@bundestag.de,SPD,143,,Oliver,Kaczmarek,Nordrhein-Westfalen
