Name,Anrede,Bundesland,Wahlkreis,Email,Partei
Dr. Prof. Dr. Reza Asghari,Herr,Niedersachsen,49 - Salzgitter – Wolfenbüttel,reza.asghari@bundestag.de,CDU
Tijen Ataoğlu,Frau,Nordrhein-Westfalen,137 - Hagen – Ennepe-Ruhr-Kreis I,tijen.ataoglu@bundestag.de,CDU
Andreas Audretsch,Herr,Berlin,81 - Berlin-Neukölln,andreas.audretsch@bundestag.de,GRÜNE
Artur Auernhammer,Herr,Bayern,240 - Ansbach,artur.auernhammer@bundestag.de,CSU
Peter Aumer,Herr,Bayern,232 - Regensburg,peter.aumer@bundestag.de,CSU
Dr. Cornell-Anette Babendererde,Frau,Niedersachsen,36 - Harburg,cornell-anette.babendererde@bundestag.de,CDU
Lisa Badum,Frau,Bayern,235 - Bamberg,lisa.badum@bundestag.de,GRÜNE
Annalena Baerbock,Frau,Brandenburg,61 - Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,annalena.baerbock@bundestag.de,GRÜNE
Daniel Baldy,Herr,Rheinland-Pfalz,204 - Mainz,daniel.baldy@bundestag.de,SPD
Felix Banaszak,Herr,Nordrhein-Westfalen,115 - Duisburg II,felix.banaszak@bundestag.de,GRÜNE
Thomas Bareiß,Herr,Baden-Württemberg,295 - Zollernalb – Sigmaringen,thomas.bareiss@bundestag.de,CDU
Sören Bartol,Herr,Hessen,170 - Marburg,soeren.bartol@bundestag.de,SPD
Dr. Dietmar Bartsch,Herr,Mecklenburg-Vorpommern,14 - Rostock – Landkreis Rostock II,dietmar.bartsch@bundestag.de,DIE LINKE
Bärbel Bas,Frau,Nordrhein-Westfalen,114 - Duisburg I,baerbel.bas@bundestag.de,SPD
Marcel Bauer,Herr,Baden-Württemberg,271 - Karlsruhe-Stadt,marcel.bauer@bundestag.de,DIE LINKE
Günter Baumgartner,Herr,Bayern,229 - Rottal-Inn,guenter.baumgartner@bundestag.de,CSU
Katharina Beck,Frau,Hamburg,21 - Hamburg-Nord,katharina.beck@bundestag.de,GRÜNE
Desiree Becker,Frau,Hessen,172 - Gießen,desiree.becker@bundestag.de,DIE LINKE
Sascha van Beek,Herr,Nordrhein-Westfalen,112 - Wesel I,sascha.beek@bundestag.de,CDU
Jens Behrens,Herr,Nordrhein-Westfalen,145 - Soest,jens.behrens@bundestag.de,SPD
Lukas Benner,Herr,Nordrhein-Westfalen,86 - Aachen I,lukas.benner@bundestag.de,GRÜNE
Melanie Bernstein,Frau,Schleswig-Holstein,8 - Segeberg – Stormarn-Mitte,melanie.bernstein@bundestag.de,CDU
Daniel Bettermann,Herr,Hessen,167 - Kassel,daniel.bettermann@bundestag.de,SPD
Lorenz Gösta Beutin,Herr,Schleswig-Holstein,1 - Flensburg – Schleswig,lorenz.beutin@bundestag.de,DIE LINKE
Peter Beyer,Herr,Nordrhein-Westfalen,104 - Mettmann II,peter.beyer@bundestag.de,CDU
Marc Biadacz,Herr,Baden-Württemberg,260 - Böblingen,marc.biadacz@bundestag.de,CDU
Steffen Bilger,Herr,Baden-Württemberg,265 - Ludwigsburg,steffen.bilger@bundestag.de,CDU
Florian Bilic,Herr,Rheinland-Pfalz,209 - Pirmasens,florian.bilic@bundestag.de,CDU
Jakob Blankenburg,Herr,Niedersachsen,37 - Lüchow-Dannenberg – Lüneburg,jakob.blankenburg@bundestag.de,SPD
Violetta Bock,Frau,Hessen,167 - Kassel,violetta.bock@bundestag.de,DIE LINKE
Leif Erik Bodin,Herr,Schleswig-Holstein,2 - Nordfriesland – Dithmarschen Nord,leif.bodin@bundestag.de,CDU
Hendrik Bollmann,Herr,Nordrhein-Westfalen,140 - Herne – Bochum II,hendrik.bollmann@bundestag.de,SPD
Simone Borchardt,Frau,Mecklenburg-Vorpommern,13 - Ludwigslust-Parchim II–Nordwestmecklenbg II–Landkr. RostockI,simone.borchardt@bundestag.de,CDU
Caroline Bosbach,Frau,Nordrhein-Westfalen,99 - Rheinisch-Bergischer Kreis,caroline.bosbach@bundestag.de,CDU
Jorrit Bosch,Herr,Niedersachsen,Landesliste Niedersachsen,jorrit.bosch@bundestag.de,DIE LINKE
Frederik Bouffier,Herr,Hessen,172 - Gießen,frederik.bouffier@bundestag.de,CDU
Michael Brand,Herr,Hessen,173 - Fulda,michael.brand@bundestag.de,CDU
Dr. Reinhard Brandl,Herr,Bayern,215 - Ingolstadt,reinhard.brandl@bundestag.de,CSU
Dr. Franziska Brantner,Frau,Baden-Württemberg,274 - Heidelberg,franziska.brantner@bundestag.de,GRÜNE
Silvia Breher,Frau,Niedersachsen,32 - Cloppenburg – Vechta,silvia.breher@bundestag.de,CDU
Anne-Mieke Bremer,Frau,Niedersachsen,40 - Nienburg II – Schaumburg,anne-mieke.bremer@bundestag.de,DIE LINKE
Ralph Brinkhaus,Herr,Nordrhein-Westfalen,130 - Gütersloh I,ralph.brinkhaus@bundestag.de,CDU
Lutz Brinkmann,Herr,Niedersachsen,38 - Osnabrück-Land,lutz.brinkmann@bundestag.de,CDU
Dr. Carsten Brodesser,Herr,Nordrhein-Westfalen,98 - Oberbergischer Kreis,carsten.brodesser@bundestag.de,CDU
Victoria Broßart,Frau,Bayern,221 - Rosenheim,victoria.brossart@bundestag.de,GRÜNE
Agnieszka Brugger,Frau,Baden-Württemberg,294 - Ravensburg,agnieszka.brugger@bundestag.de,GRÜNE
Dr. Marlon Bröhr,Herr,Rheinland-Pfalz,199 - Mosel/Rhein-Hunsrück,marlon.broehr@bundestag.de,CDU
Maik Brückner,Herr,Niedersachsen,48 - Hildesheim,maik.brueckner@bundestag.de,DIE LINKE
Dr. Yannick Bury,Herr,Baden-Württemberg,283 - Emmendingen – Lahr,yannick.bury@bundestag.de,CDU
Dorothee Bär,Frau,Bayern,247 - Bad Kissingen,dorothee.baer@bundestag.de,CSU
Karl Bär,Herr,Bayern,222 - Bad Tölz-Wolfratshausen – Miesbach,karl.baer@bundestag.de,GRÜNE
Janina Böttger,Frau,Sachsen-Anhalt,71 - Halle,janina.boettger@bundestag.de,DIE LINKE
Benedikt Büdenbender,Herr,Nordrhein-Westfalen,147 - Siegen-Wittgenstein,benedikt.buedenbender@bundestag.de,CDU
Clara Bünger,Frau,Sachsen,159 - Dresden II – Bautzen II,clara.buenger@bundestag.de,DIE LINKE
Isabel Cademartori,Frau,Baden-Württemberg,275 - Mannheim,isabel.cademartori@bundestag.de,SPD
Sandra Carstensen,Frau,Schleswig-Holstein,6 - Plön – Neumünster,sandra.carstensen@bundestag.de,CDU
Dr. Prof. Dr. Lars Castellucci,Herr,Baden-Württemberg,277 - Rhein-Neckar,lars.castellucci@bundestag.de,SPD
Jörg Cezanne,Herr,Hessen,183 - Groß-Gerau,joerg.cezanne@bundestag.de,DIE LINKE
Gitta Connemann,Frau,Niedersachsen,25 - Unterems,gitta.connemann@bundestag.de,CDU
Agnes Conrad,Frau,Bayern,249 - Schweinfurt,agnes.conrad@bundestag.de,DIE LINKE
Jürgen Coße,Herr,Nordrhein-Westfalen,127 - Steinfurt III,juergen.cosse@bundestag.de,SPD
Wolfgang Dahler,Herr,Baden-Württemberg,292 - Biberach,wolfgang.dahler@bundestag.de,CDU
Dr. Janosch Dahmen,Herr,Nordrhein-Westfalen,138 - Ennepe-Ruhr-Kreis II,janosch.dahmen@bundestag.de,GRÜNE
Hakan Demir,Herr,Berlin,81 - Berlin-Neukölln,hakan.demir@bundestag.de,SPD
Ellen Demuth,Frau,Rheinland-Pfalz,196 - Neuwied,ellen.demuth@bundestag.de,CDU
Dr. Sandra Detzer,Frau,Baden-Württemberg,265 - Ludwigsburg,sandra.detzer@bundestag.de,GRÜNE
Jan Dieren,Herr,Nordrhein-Westfalen,113 - Krefeld II – Wesel II,jan.dieren@bundestag.de,SPD
Esther Dilcher,Frau,Hessen,166 - Waldeck,esther.dilcher@bundestag.de,SPD
Jeanne Dillschneider,Frau,Saarland,296 - Saarbrücken,jeanne.dillschneider@bundestag.de,GRÜNE
Sabine Dittmar,Frau,Bayern,247 - Bad Kissingen,sabine.dittmar@bundestag.de,SPD
Alexander Dobrindt,Herr,Bayern,225 - Weilheim,alexander.dobrindt@bundestag.de,CSU
Michael Donth,Herr,Baden-Württemberg,289 - Reutlingen,michael.donth@bundestag.de,CDU
Dr. Florian Dorn,Herr,Bayern,255 - Memmingen – Unterallgäu,florian.dorn@bundestag.de,CSU
Falko Droßmann,Herr,Hamburg,18 - Hamburg-Mitte,falko.drossmann@bundestag.de,SPD
Katharina Dröge,Frau,Nordrhein-Westfalen,94 - Köln III,katharina.droege@bundestag.de,GRÜNE
Hansjörg Durz,Herr,Bayern,252 - Augsburg-Land,hansjoerg.durz@bundestag.de,CSU
Timon Dzienus,Herr,Niedersachsen,41 - Stadt Hannover I,timon.dzienus@bundestag.de,GRÜNE
Felix Döring,Herr,Hessen,172 - Gießen,felix.doering@bundestag.de,SPD
Dr. Hülya Düber,Frau,Bayern,250 - Würzburg,huelya.dueber@bundestag.de,CSU
Deborah Düring,Frau,Hessen,181 - Frankfurt am Main I,deborah.duering@bundestag.de,GRÜNE
Joachim Ebmeyer,Herr,Nordrhein-Westfalen,132 - Herford – Minden-Lübbecke II,joachim.ebmeyer@bundestag.de,CDU
Harald Ebner,Herr,Baden-Württemberg,268 - Schwäbisch Hall – Hohenlohe,harald.ebner@bundestag.de,GRÜNE
Leon Eckert,Herr,Bayern,213 - Freising,leon.eckert@bundestag.de,GRÜNE
Ralph Edelhäußer,Herr,Bayern,245 - Roth,ralph.edelhaeusser@bundestag.de,CSU
Mirze Edis,Herr,Nordrhein-Westfalen,114 - Duisburg I,mirze.edis@bundestag.de,DIE LINKE
Lars Ehm,Herr,Nordrhein-Westfalen,121 - Recklinghausen II,lars.ehm@bundestag.de,CDU
Sonja Eichwede,Frau,Brandenburg,60 - BRB a.d.Havel– Potsdam-MittelmarkI –HVL III–Teltow-Fläming I,sonja.eichwede@bundestag.de,SPD
Mandy Eißing,Frau,Thüringen,194 - Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,mandy.eissing@bundestag.de,DIE LINKE
Marcel Emmerich,Herr,Baden-Württemberg,291 - Ulm,marcel.emmerich@bundestag.de,GRÜNE
Alexander Engelhard,Herr,Bayern,254 - Neu-Ulm,alexander.engelhard@bundestag.de,CSU
Martina Englhardt-Kopf,Frau,Bayern,233 - Schwandorf,martina.englhardt-kopf@bundestag.de,CSU
Thomas Erndl,Herr,Bayern,226 - Deggendorf,thomas.erndl@bundestag.de,CSU
Bastian Ernst,Herr,Niedersachsen,28 - Delmenhorst – Wesermarsch – Oldenburg-Land,bastian.ernst@bundestag.de,CDU
Dr. Wiebke Esdar,Frau,Nordrhein-Westfalen,131 - Bielefeld – Gütersloh II,wiebke.esdar@bundestag.de,SPD
Saskia Esken,Frau,Baden-Württemberg,280 - Calw,saskia.esken@bundestag.de,SPD
Nancy Faeser,Frau,Hessen,180 - Main-Taunus,nancy.faeser@bundestag.de,SPD
Dr. Fabian Fahl,Herr,Nordrhein-Westfalen,86 - Aachen I,fabian.fahl@bundestag.de,DIE LINKE
Dr. Johannes Fechner,Herr,Baden-Württemberg,283 - Emmendingen – Lahr,johannes.fechner@bundestag.de,SPD
Uwe Feiler,Herr,Brandenburg,58 - Oberhavel – Havelland II,uwe.feiler@bundestag.de,CDU
Katrin Fey,Frau,Nordrhein-Westfalen,147 - Siegen-Wittgenstein,katrin.fey@bundestag.de,DIE LINKE
Sebastian Fiedler,Herr,Nordrhein-Westfalen,117 - Mülheim – Essen I,sebastian.fiedler@bundestag.de,SPD
Simone Fischer,Frau,Baden-Württemberg,258 - Stuttgart I,simone.fischer@bundestag.de,GRÜNE
Uwe Foullong,Herr,Nordrhein-Westfalen,124 - Bottrop – Recklinghausen III,uwe.foullong@bundestag.de,DIE LINKE
Christoph Frauenpreiß,Herr,Niedersachsen,29 - Cuxhaven – Stade II,christoph.frauenpreiss@bundestag.de,CDU
Thorsten Frei,Herr,Baden-Württemberg,286 - Schwarzwald-Baar,thorsten.frei@bundestag.de,CDU
Michael Frieser,Herr,Bayern,244 - Nürnberg-Süd,michael.frieser@bundestag.de,CSU
Hermann Färber,Herr,Baden-Württemberg,263 - Göppingen,hermann.faerber@bundestag.de,CDU
Schahina Gambir,Frau,Nordrhein-Westfalen,133 - Minden-Lübbecke I,schahina.gambir@bundestag.de,GRÜNE
Matthias Gastel,Herr,Baden-Württemberg,262 - Nürtingen,matthias.gastel@bundestag.de,GRÜNE
Kathrin Gebel,Frau,Nordrhein-Westfalen,128 - Münster,kathrin.gebel@bundestag.de,DIE LINKE
Wilhelm Gebhard,Herr,Hessen,168 - Werra-Meißner – Hersfeld-Rotenburg,wilhelm.gebhard@bundestag.de,CDU
Dr. Thomas Gebhart,Herr,Rheinland-Pfalz,210 - Südpfalz,thomas.gebhart@bundestag.de,CDU
Dr. Jonas Geissler,Herr,Bayern,237 - Coburg,jonas.geissler@bundestag.de,CSU
Katalin Gennburg,Frau,Berlin,84 - Berlin-Marzahn-Hellersdorf,katalin.gennburg@bundestag.de,DIE LINKE
Martin Gerster,Herr,Baden-Württemberg,292 - Biberach,martin.gerster@bundestag.de,SPD
Dr. Jan-Niclas Gesenhues,Herr,Nordrhein-Westfalen,127 - Steinfurt III,jan-niclas.gesenhues@bundestag.de,GRÜNE
Vinzenz Glaser,Herr,Baden-Württemberg,281 - Freiburg,vinzenz.glaser@bundestag.de,DIE LINKE
Angelika Glöckner,Frau,Rheinland-Pfalz,209 - Pirmasens,angelika.gloeckner@bundestag.de,SPD
Nicole Gohlke,Frau,Bayern,219 - München-West/Mitte,nicole.gohlke@bundestag.de,DIE LINKE
Fabian Gramling,Herr,Baden-Württemberg,266 - Neckar-Zaber,fabian.gramling@bundestag.de,CDU
Adrian Grasse,Herr,Berlin,78 - Berlin-Steglitz-Zehlendorf,adrian.grasse@bundestag.de,CDU
Dr. Prof. Dr. Armin Grau,Herr,Rheinland-Pfalz,206 - Ludwigshafen/Frankenthal,armin.grau@bundestag.de,GRÜNE
David Gregosz,Herr,Thüringen,188 - Eichsfeld – Nordhausen – Kyffhäuserkreis,david.gregosz@bundestag.de,CDU
Kerstin Griese,Frau,Nordrhein-Westfalen,104 - Mettmann II,kerstin.griese@bundestag.de,SPD
Dr. Inge Gräßle,Frau,Baden-Württemberg,269 - Backnang – Schwäbisch Gmünd,inge.graessle@bundestag.de,CDU
Dr. Lena Gumnior,Frau,Niedersachsen,34 - Osterholz – Verden,lena.gumnior@bundestag.de,GRÜNE
Olav Gutting,Herr,Baden-Württemberg,278 - Bruchsal – Schwetzingen,olav.gutting@bundestag.de,CDU
Dr. Gregor Gysi,Herr,Berlin,83 - Berlin-Treptow-Köpenick,gregor.gysi@bundestag.de,DIE LINKE
Katrin Göring-Eckardt,Frau,Thüringen,192 - Erfurt – Weimar – Weimarer Land II,katrin.goering-eckardt@bundestag.de,GRÜNE
Christian Görke,Herr,Brandenburg,64 - Cottbus – Spree-Neiße,christian.goerke@bundestag.de,DIE LINKE
Serap Güler,Frau,Nordrhein-Westfalen,92 - Köln I,serap.gueler@bundestag.de,CDU
Georg Günther,Herr,Mecklenburg-Vorpommern,15 - Vorpommern-Rügen – Vorpommern-Greifswald I,georg.guenther@bundestag.de,CDU
Fritz Güntzler,Herr,Niedersachsen,53 - Göttingen I,fritz.guentzler@bundestag.de,CDU
Ates Gürpinar,Herr,Bayern,221 - Rosenheim,ates.guerpinar@bundestag.de,DIE LINKE
Christian Haase,Herr,Nordrhein-Westfalen,135 - Höxter – Gütersloh III – Lippe II,christian.haase@bundestag.de,CDU
Dr. Robert Habeck,Herr,Schleswig-Holstein,1 - Flensburg – Schleswig,robert.habeck@bundestag.de,GRÜNE
Bettina Hagedorn,Frau,Schleswig-Holstein,9 - Ostholstein – Stormarn-Nord,bettina.hagedorn@bundestag.de,SPD
Florian Hahn,Herr,Bayern,220 - München-Land,florian.hahn@bundestag.de,CSU
Heiko Hain,Herr,Bayern,238 - Hof,heiko.hain@bundestag.de,CSU
Metin Hakverdi,Herr,Hamburg,23 - Hamburg-Bergedorf – Harburg,metin.hakverdi@bundestag.de,SPD
Jürgen Hardt,Herr,Nordrhein-Westfalen,102 - Solingen – Remscheid – Wuppertal II,juergen.hardt@bundestag.de,CDU
Sebastian Hartmann,Herr,Nordrhein-Westfalen,96 - Rhein-Sieg-Kreis I,sebastian.hartmann@bundestag.de,SPD
Matthias Hauer,Herr,Nordrhein-Westfalen,119 - Essen III,matthias.hauer@bundestag.de,CDU
Britta Haßelmann,Frau,Nordrhein-Westfalen,131 - Bielefeld – Gütersloh II,britta.hasselmann@bundestag.de,GRÜNE
Hubertus Heil,Herr,Niedersachsen,45 - Gifhorn – Peine,hubertus.heil@bundestag.de,SPD
Mechthild Heil,Frau,Rheinland-Pfalz,197 - Ahrweiler,mechthild.heil@bundestag.de,CDU
Frauke Heiligenstadt,Frau,Niedersachsen,52 - Goslar – Northeim – Göttingen II,frauke.heiligenstadt@bundestag.de,SPD
Gabriela Heinrich,Frau,Bayern,243 - Nürnberg-Nord,gabriela.heinrich@bundestag.de,SPD
Linda Heitmann,Frau,Hamburg,19 - Hamburg-Altona,linda.heitmann@bundestag.de,GRÜNE
Mark Helfrich,Herr,Schleswig-Holstein,3 - Steinburg – Dithmarschen Süd,mark.helfrich@bundestag.de,CDU
Marc Henrichmann,Herr,Nordrhein-Westfalen,126 - Coesfeld – Steinfurt II,marc.henrichmann@bundestag.de,CDU
Diana Herbstreuth,Frau,Thüringen,194 - Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,diana.herbstreuth@bundestag.de,CDU
Mareike Hermeier,Frau,Nordrhein-Westfalen,123 - Steinfurt I – Borken I,mareike.hermeier@bundestag.de,DIE LINKE
Nadine Heselhaus,Frau,Nordrhein-Westfalen,125 - Borken II,nadine.heselhaus@bundestag.de,SPD
Heike Heubach,Frau,Bayern,252 - Augsburg-Land,heike.heubach@bundestag.de,SPD
Dr. Moritz Heuberger,Herr,Berlin,80 - Berlin-Tempelhof-Schöneberg,moritz.heuberger@bundestag.de,GRÜNE
Ansgar Heveling,Herr,Nordrhein-Westfalen,109 - Krefeld I – Neuss II,ansgar.heveling@bundestag.de,CDU
Susanne Hierl,Frau,Bayern,231 - Amberg,susanne.hierl@bundestag.de,CSU
Dr. Prof. Dr. Matthias Hiller,Herr,Baden-Württemberg,262 - Nürtingen,matthias.hiller@bundestag.de,CDU
Christian Hirte,Herr,Thüringen,189 - Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,christian.hirte@bundestag.de,CDU
Alexander Hoffmann,Herr,Bayern,248 - Main-Spessart,alexander.hoffmann@bundestag.de,CSU
Philip M. A. Hoffmann,Herr,Saarland,297 - Saarlouis,philip.hoffmann@bundestag.de,CDU
Dr. Anton Hofreiter,Herr,Bayern,220 - München-Land,anton.hofreiter@bundestag.de,GRÜNE
Dr. Hendrik Hoppenstedt,Herr,Niedersachsen,43 - Hannover-Land I,hendrik.hoppenstedt@bundestag.de,CDU
Franziska Hoppermann,Frau,Hamburg,22 - Hamburg-Wandsbek,franziska.hoppermann@bundestag.de,CDU
Michael Hose,Herr,Thüringen,192 - Erfurt – Weimar – Weimarer Land II,michael.hose@bundestag.de,CDU
Jasmina Hostert,Frau,Baden-Württemberg,260 - Böblingen,jasmina.hostert@bundestag.de,SPD
Luke Hoß,Herr,Bayern,228 - Passau,luke.hoss@bundestag.de,DIE LINKE
Verena Hubertz,Frau,Rheinland-Pfalz,202 - Trier,verena.hubertz@bundestag.de,SPD
Cem Ince,Herr,Niedersachsen,49 - Salzgitter – Wolfenbüttel,cem.ince@bundestag.de,DIE LINKE
Anne Janssen,Frau,Niedersachsen,26 - Friesland – Wilhelmshaven – Wittmund,anne.janssen@bundestag.de,CDU
Thomas Jarzombek,Herr,Nordrhein-Westfalen,105 - Düsseldorf I,thomas.jarzombek@bundestag.de,CDU
Alexander Jordan,Herr,Niedersachsen,51 - Helmstedt – Wolfsburg,alexander.jordan@bundestag.de,CDU
Julian Joswig,Herr,Rheinland-Pfalz,199 - Mosel/Rhein-Hunsrück,julian.joswig@bundestag.de,GRÜNE
Andreas Jung,Herr,Baden-Württemberg,287 - Konstanz,andreas.jung@bundestag.de,CDU
Frank Junge,Herr,Mecklenburg-Vorpommern,13 - Ludwigslust-Parchim II–Nordwestmecklenbg II–Landkr. RostockI,frank.junge@bundestag.de,SPD
Oliver Kaczmarek,Herr,Nordrhein-Westfalen,143 - Unna I,oliver.kaczmarek@bundestag.de,SPD
Lamya Kaddor,Frau,Nordrhein-Westfalen,114 - Duisburg I,lamya.kaddor@bundestag.de,GRÜNE
Elisabeth Kaiser,Frau,Thüringen,193 - Gera – Greiz – Altenburger Land,elisabeth.kaiser@bundestag.de,SPD
Maren Kaminski,Frau,Niedersachsen,42 - Stadt Hannover II,maren.kaminski@bundestag.de,DIE LINKE
Nicklas Kappe,Herr,Nordrhein-Westfalen,124 - Bottrop – Recklinghausen III,nicklas.kappe@bundestag.de,CDU
Dr. Kirsten Kappert-Gonther,Frau,Bremen,54 - Bremen I,kirsten.kappert-gonther@bundestag.de,GRÜNE
Macit Karaahmetoğlu,Herr,Baden-Württemberg,265 - Ludwigsburg,macit.karaahmetoglu@bundestag.de,SPD
Anja Karliczek,Frau,Nordrhein-Westfalen,127 - Steinfurt III,anja.karliczek@bundestag.de,CDU
Michael Kellner,Herr,Brandenburg,57 - Uckermark – Barnim I,michael.kellner@bundestag.de,GRÜNE
Ronja Kemmer,Frau,Baden-Württemberg,291 - Ulm,ronja.kemmer@bundestag.de,CDU
Dr. Franziska Kersten,Frau,Sachsen-Anhalt,67 - Börde – Salzlandkreis,franziska.kersten@bundestag.de,SPD
Misbah Khan,Frau,Rheinland-Pfalz,207 - Neustadt – Speyer,misbah.khan@bundestag.de,GRÜNE
Roderich Kiesewetter,Herr,Baden-Württemberg,270 - Aalen – Heidenheim,roderich.kiesewetter@bundestag.de,CDU
Michael Kießling,Herr,Bayern,223 - Starnberg – Landsberg am Lech,michael.kiessling@bundestag.de,CSU
Dr. Georg Kippels,Herr,Nordrhein-Westfalen,90 - Rhein-Erft-Kreis I,georg.kippels@bundestag.de,CDU
Helmut Kleebank,Herr,Berlin,77 - Berlin-Spandau – Charlottenburg Nord,helmut.kleebank@bundestag.de,SPD
Dr. Ottilie Klein,Frau,Berlin,81 - Berlin-Neukölln,ottilie.klein@bundestag.de,CDU
Lars Klingbeil,Herr,Niedersachsen,35 - Rotenburg I – Heidekreis,lars.klingbeil@bundestag.de,SPD
Annika Klose,Frau,Berlin,74 - Berlin-Mitte,annika.klose@bundestag.de,SPD
Julia Klöckner,Frau,Rheinland-Pfalz,200 - Kreuznach,julia.kloeckner@bundestag.de,CDU
Tim Klüssendorf,Herr,Schleswig-Holstein,11 - Lübeck,tim.kluessendorf@bundestag.de,SPD
Axel Knoerig,Herr,Niedersachsen,33 - Diepholz – Nienburg I,axel.knoerig@bundestag.de,CDU
Dr. Bärbel Kofler,Frau,Bayern,224 - Traunstein,baerbel.kofler@bundestag.de,SPD
Hans Koller,Herr,Bayern,228 - Passau,hans.koller@bundestag.de,CSU
Markus Koob,Herr,Hessen,175 - Hochtaunus,markus.koob@bundestag.de,CDU
Chantal Kopf,Frau,Baden-Württemberg,281 - Freiburg,chantal.kopf@bundestag.de,GRÜNE
Dr. Stefan Korbach,Herr,Hessen,178 - Wiesbaden,stefan.korbach@bundestag.de,CDU
Ferat Koçak,Herr,Berlin,81 - Berlin-Neukölln,ferat.kocak@bundestag.de,DIE LINKE
Anette Kramme,Frau,Bayern,236 - Bayreuth,anette.kramme@bundestag.de,SPD
Dunja Kreiser,Frau,Niedersachsen,49 - Salzgitter – Wolfenbüttel,dunja.kreiser@bundestag.de,SPD
Gunther Krichbaum,Herr,Baden-Württemberg,279 - Pforzheim,gunther.krichbaum@bundestag.de,CDU
Lukas Krieger,Herr,Berlin,79 - Berlin-Charlottenburg-Wilmersdorf,lukas.krieger@bundestag.de,CDU
Dr. Prof. Dr. Günter Krings,Herr,Nordrhein-Westfalen,108 - Mönchengladbach,guenter.krings@bundestag.de,CDU
Martin Kröber,Herr,Sachsen-Anhalt,69 - Magdeburg,martin.kroeber@bundestag.de,SPD
Tilman Kuban,Herr,Niedersachsen,47 - Hannover-Land II,tilman.kuban@bundestag.de,CDU
Cansin Köktürk,Frau,Nordrhein-Westfalen,139 - Bochum I,cansin.koektuerk@bundestag.de,DIE LINKE
Daniel Kölbl,Herr,Schleswig-Holstein,7 - Pinneberg,daniel.koelbl@bundestag.de,CDU
Anne König,Frau,Nordrhein-Westfalen,125 - Borken II,anne.koenig@bundestag.de,CDU
Carsten Körber,Herr,Sachsen,164 - Zwickau,carsten.koerber@bundestag.de,CDU
Dr. Konrad Körner,Herr,Bayern,241 - Erlangen,konrad.koerner@bundestag.de,CSU
Jan Köstering,Herr,Nordrhein-Westfalen,98 - Oberbergischer Kreis,jan.koestering@bundestag.de,DIE LINKE
Ricarda Lang,Frau,Baden-Württemberg,269 - Backnang – Schwäbisch Gmünd,ricarda.lang@bundestag.de,GRÜNE
Ulrich Lange,Herr,Bayern,253 - Donau-Ries,ulrich.lange@bundestag.de,CSU
Armin Laschet,Herr,Nordrhein-Westfalen,86 - Aachen I,armin.laschet@bundestag.de,CDU
Ina Latendorf,Frau,Mecklenburg-Vorpommern,12 - Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,ina.latendorf@bundestag.de,DIE LINKE
Dr. Silke Launert,Frau,Bayern,236 - Bayreuth,silke.launert@bundestag.de,CSU
Dr. Prof. Dr. Karl Lauterbach,Herr,Nordrhein-Westfalen,100 - Leverkusen – Köln IV,karl.lauterbach@bundestag.de,SPD
